# EP_MODEL,v5-regime,flag=v5,ship_gate=True
# ARMS,ep=max(floor, affine, dyn_anchor); v5 scales max(affine,dyn_anchor) by m_money*m_pos*m_elite (floor never scaled)
# REGIME,R_now=1.4057,R_bar=2.56783,lambda=0.47699,gamma=0.0,m_money=0.8,m_pos={'QB': 1.0, 'RB': 1.0, 'WR': 1.0, 'TE': 1.0}
# TUNABLES (NOT fitted),m_money_clamp=[0.8, 1.6],m_pos_clamp=[0.85, 1.35],POS_DYN_W={'QB': 1.0, 'WR': 0.9, 'TE': 0.9, 'RB': 0.55},dyn_anchor_$75K,startability_floor_table
# BACKTEST (LOYO 2022-25, credible clears),v4={'mae': 5.595, 'dw_mae': 9.984, 'bias': 0.214, 'n': 126},v5={'mae': 5.421, 'dw_mae': 9.453, 'bias': -0.071, 'n': 126}
# ARM_TRUTH (credible historical clears),{'floor': {'n': 47, 'binding_share': 0.373, 'paid_share': 0.2238, 'mae': 3.426, 'dw_mae': 4.869, 'bias': -0.489}, 'affine': {'n': 76, 'binding_share': 0.6032, 'paid_share': 0.7371, 'mae': 7.0, 'dw_mae': 11.824, 'bias': 0.605}, 'dyn_anchor': {'n': 3, 'binding_share': 0.0238, 'paid_share': 0.039, 'mae': 4.0, 'dw_mae': 4.556, 'bias': 1.333}}
# WARNING,The dynasty-anchor arm binds 73% of the CREDIBLE 2026 board but only 2.4% of credible historical clears (n=3). This is structural, not a sampling accident: franchises do not release high-dynasty players into the FA auction, so the arm that prices most of today's board is essentially UNVALIDATABLE from the archive. POS_DYN_W remains a Keith-tunable judgement call, and the advertised MSE-31/MAE-$3.5K describes the affine arm on ALL clears — a set dominated by $1-2K scrubs — not the number the tool serves on the players you actually bid on.
player,pos,status,owner,dyn_sf_rank,fp_rank,redraft_worth_k,dynasty_worth_k,worth_k,ep_arm_floor_k,ep_arm_affine_k,ep_arm_dyn_anchor_k,ep_arm,m_money,m_pos,m_elite,ep_v4_k,ep_v5_k,ep_k,gap_k,e_apwe_p50,e_apwe_p90,per_apwe,value_ratio,verdict,fit_0008,deal_type,top_competitors
Drew Lock,QB,FA,,QB81,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Kyle McCord,QB,FA,,QB83,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Joshua Dobbs,QB,FA,,QB84,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Max Brosmer,QB,FA,,QB85,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Nick Mullens,QB,FA,,QB86,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Kurtis Rourke,QB,FA,,QB87,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Cooper Rush,QB,FA,,QB88,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Hendon Hooker,QB,FA,,QB89,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Kyle Allen,QB,FA,,QB90,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Stetson Bennett IV,QB,FA,,QB91,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Dorian Thompson-Robinson,QB,FA,,QB92,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Bailey Zappe,QB,FA,,QB93,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Tommy DeVito,QB,FA,,QB94,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Desmond Ridder,QB,FA,,QB95,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Sam Ehlinger,QB,FA,,QB96,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Josh Johnson,QB,FA,,QB97,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Case Keenum,QB,FA,,QB98,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Sean Clifford,QB,FA,,QB99,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Matt Hibner,TE,FA,,TE53,TE56,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.22,0.01,4.5,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Joe Royer,TE,FA,,TE58,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Zach Ertz,TE,FA,,TE60,,0,1,0,0,2.67,0.9,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Elijah Higgins,TE,FA,,TE62,TE60,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.2,0.01,5.0,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Luke Schoonmaker,TE,FA,,TE64,TE71,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.15,0.01,6.7,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Nate Boerkircher,TE,FA,,TE65,TE64,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.18,0.01,5.6,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Mitchell Evans,TE,FA,,TE67,TE62,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.19,0.01,5.3,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Dae'Quan Wright,TE,FA,,TE68,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Dallen Bentley,TE,FA,,TE69,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Seydou Traore,TE,FA,,TE71,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Riley Nowakowski,TE,FA,,TE72,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Jaren Kanak,TE,FA,,TE73,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
RJ Maryland,TE,FA,,TE74,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Josh Cuevas,TE,FA,,TE75,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Tyler Conklin,TE,FA,,TE76,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Carsen Ryan,TE,FA,,TE78,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Taysom Hill,TE,FA,,TE80,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Daniel Bellinger,TE,FA,,TE81,TE69,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.16,0.01,6.2,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
John Michael Gyllenborg,TE,FA,,TE82,,0,1,0,0,2.67,0.9,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Jared Wiley,TE,FA,,TE83,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Adam Trautman,TE,FA,,TE84,TE74,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.14,0.01,7.1,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Josh Oliver,TE,FA,,TE85,TE72,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.15,0.01,6.7,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Thomas Fidone II,TE,FA,,TE86,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Austin Hooper,TE,FA,,TE87,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Davis Allen,TE,FA,,TE89,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Grant Calcaterra,TE,FA,,TE90,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Will Dissly,TE,FA,,TE91,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Brock Wright,TE,FA,,TE92,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Jeremy Ruckert,TE,FA,,TE93,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Jackson Hawes,TE,FA,,TE94,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Foster Moreau,TE,FA,,TE95,TE65,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.18,0.01,5.6,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Hunter Long,TE,FA,,TE96,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Kylen Granson,TE,FA,,TE97,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Jake Briningstool,TE,FA,,TE98,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Brevin Jordan,TE,FA,,TE99,TE76,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.13,0.01,7.7,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Luke Lachey,TE,FA,,TE100,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Tanner Hudson,TE,FA,,TE101,TE66,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.17,0.01,5.9,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Stone Smartt,TE,FA,,TE102,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Harrison Bryant,TE,FA,,TE103,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Jelani Woods,TE,FA,,TE104,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Jalin Conyers,TE,FA,,TE105,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Gavin Bartholomew,TE,FA,,TE106,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Jaheim Bell,TE,FA,,TE107,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Luke Farrell,TE,FA,,TE108,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Tip Reiman,TE,FA,,TE109,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Josh Whyle,TE,FA,,TE110,TE75,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.14,0.01,7.1,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Will Mallory,TE,FA,,TE111,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Julian Hill,TE,FA,,TE112,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Devin Culp,TE,FA,,TE113,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
John Bates,TE,FA,,TE114,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Lucas Krull,TE,FA,,TE115,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Gerald Everett,TE,FA,,TE116,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Moliki Matavao,TE,FA,,TE117,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Irv Smith Jr.,TE,FA,,TE118,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Brevyn Spann-Ford,TE,FA,,TE119,TE73,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.15,0.01,6.7,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Drew Ogletree,TE,FA,,TE120,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Johnny Mundt,TE,FA,,TE121,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Payne Durham,TE,FA,,TE122,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Drew Sample,TE,FA,,TE123,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Mo Alie-Cox,TE,FA,,TE124,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Donald Parham Jr.,TE,FA,,TE125,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Eric Saubert,TE,FA,,TE126,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Jack Stoll,TE,FA,,TE127,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Durham Smythe,TE,FA,,TE128,TE58,1,0,0,2,3.51,0.0,affine,0.8,1.0,1.0,4,3,1,1,0.21,0.01,4.8,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
James Mitchell,TE,FA,,TE129,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Connor Heyward,TE,FA,,TE130,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Shane Zylstra,TE,FA,,TE131,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Ian Thomas,TE,FA,,TE132,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Teagan Quitoriano,TE,FA,,TE133,,0,0,0,0,2.67,0.0,affine,0.8,1.0,1.0,3,2,1,1,0.0,0.0,,0.0,FAIR,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
